Tweets,Sentiment (All)
jom tengok kes otosan gaming restream again may blessed almighty biar tak padu asalkan,POSITIVE
jom tengok kes otosan gaming may blessed almighty biar tak padu asalkan,POSITIVE
boring lah customermalaysia,NEGATIVE
omg divers bad,NEGATIVE
congrats muhammad syafiq bin puteh,POSITIVE
s queen azizah raja permaisuri agong royal family celebration nd birthday held royal family palace istana bukit serene royal johor,NEUTRAL
hero standing,POSITIVE
pas president hadi awang wrong work muhyiddin yassinled bersatu instead umno says former leader islamic party,NEGATIVE
mount bromo views morning gunung bromo jawa,NEUTRAL
into jungle taman negara rainforest,NEUTRAL
win gold medal win,POSITIVE
thank mr khalid albarqi choosing tour around langkawi islandi hope enjoyn come insyaallah,POSITIVE
ku sayang management pools state,NEUTRAL
hamid tied knot new wife dsp fazreena karim attached police museum muzium pdrm,NEUTRAL
merdeka collection scarf nur jannat,NEUTRAL
boring lah,NEGATIVE
konsert over,NEUTRAL
warisan merdeka tower also known merdeka story metretall megatall skyscraper lumpur,NEUTRAL
college football top rankings malaysia,POSITIVE
recipe top rankings malaysia,POSITIVE
thank malaysia next time hope won rain us much,POSITIVE
puncak borneo mp willie mongin accepted pbb,NEUTRAL
sea urtle perhentian island,NEUTRAL
t top rankings malaysia,POSITIVE
bangunanbangunan xioami pro lightroom mobile,NEUTRAL
boleh follow cara sis ni beli barang shopee murahmurah jual mahal oversea gt,NEUTRAL
tonton slow rock youtube,NEUTRAL
video tv pertiwi,NEUTRAL
august college insaniah ketil kedah,NEUTRAL
s achanta sharath kamal akula sreeja defeated s leong chee feng ho ying mi doubles round,NEGATIVE
wow great artist creativenya suka tgk art work,POSITIVE
bursa page korang wajib follow free education sharing semuanya berkualiti speaker coming senior practitioner,POSITIVE
makan kat lg food area lalaport goreng got extra too,NEUTRAL
report malaysian singer eison chai found dead taipei via,NEGATIVE
kafe kampung kaw port dickson yummy breakfast via,POSITIVE
every sunset brings promise new dawn pantai cenang langkawi,POSITIVE
s sultan ibrahim ismail johor tunku idris iskandar visited people maharani streets muar district royal johor,NEUTRAL
hot boring,NEGATIVE
missing catlost cat ss subang jaya selangor pls keep eye out,NEGATIVE
pastu skrg yg bawa stroller,NEUTRAL
hot chocolate like hug inside jom order hot chocolate padu joseh kopi,POSITIVE
video webcast top rankings malaysia,POSITIVE
teh tarik malaysias favourite milk tea found every corner,NEUTRAL
emas public gold jual,NEUTRAL
our recommended item michizakura suisei,NEUTRAL
s sultan sharafuddin crown prince tengku amir shah sultan nazrin shah visited raja uda library sultan perak donated books library,NEUTRAL
hari ni start buat video banyak upload video harihanya youtube artkazuma malay dub teaser,NEUTRAL
meninjau boustead naval shipyard,NEUTRAL
this cool moga moga lah,POSITIVE
multi racial team negara reformasi,NEUTRAL
oven murah,NEUTRAL
mat kilau fan art death wahid,NEUTRAL
a trip memory lane eating laksa ww laksa house a a kolam taman water works johor bahru johor,NEUTRAL
this week dah mama dia,NEUTRAL
a trip memory lane eating char siew rice set restaurant changman g jln bestari taman nusa bestari johor bahru johor,NEUTRAL
my keluang man fanpitch artwork,NEUTRAL
terima kesih thanks memories,POSITIVE
icc world cup top rankings malaysia,POSITIVE
take dip pool enjoy best view petronas twin towersgt,POSITIVE
a trip memory lane bestmart taman nusa bestari no danga johor bahru johor best covered market johor bahru,POSITIVE
need good dose vitamin sea beras basah island langkawi,POSITIVE
drake top rankings malaysia,POSITIVE
crazy kedah fans,NEGATIVE
undi platform offers fresh take politics tengku zafrul,POSITIVE
ada sapa malaysian yg attend event magical mirai,NEUTRAL
kopi dulu kamu kopi senget cafe,NEUTRAL
air cafe,NEUTRAL
boleh refer guideline ukuran saiz baju saiz xlxl tambahan caj rmpcdm wa us or click link bio preorder,NEUTRAL
with beloved parents pantai batu buruk terengganu pantai batu buruk,POSITIVE
fried hor fun pork tripe soup penang cafe best lunch video,POSITIVE
watch video skytropolis indoor theme park resorts world genting malaysiayoutube video,NEUTRAL
wts prelove dompet,NEUTRAL
ku sayang sports complex open tender,NEUTRAL
ku sayang best exercise brain,POSITIVE
idea kabinet dapur minimalis,NEUTRAL
station mrt sungai besi,NEUTRAL
lrt sungai besi station,NEUTRAL
a trip memory lane monsta cafe taman nusa bestari bestari johor bahru johor,NEUTRAL
exploring perai river kampung,NEUTRAL
welcome malaysia,POSITIVE
jail tough ex malaysian pm razak anwar ibrahim,NEGATIVE
gurney walk penang new community hub gurney walk video,NEUTRAL
best nasi lemak,POSITIVE
ismail sabri received darjah melaka dunm carries title,NEUTRAL
malaysias expm razak sent jail serve year term,NEGATIVE
zaman hero gadis gadis ithgroupasia,NEUTRAL
blog top rankings malaysia,POSITIVE
today got five new penjara,NEUTRAL
welcome sg buloh sir viral,POSITIVE
najib arrives kajang prison start jail term,NEGATIVE
najib razak managed unite malaysians like,POSITIVE
malaysias expm razak loses final appeal mdb case,NEGATIVE
good day malaysian,POSITIVE
najib fails recuse cj,NEGATIVE
jum spread positivity dkt org terdekat twittrz,POSITIVE
laboratory technician kilang seremban vacancy open malaysia apply now,NEUTRAL
merdeka day specials,NEUTRAL
tapi kena reject tu dia cabut,NEGATIVE
the rising danger cyberpaedophilia,NEGATIVE
bro ni betul happier ever korang pergi konsert tu kylllee,POSITIVE
the golok river thai malay sungai golok signs border malaysia photo e,NEUTRAL
jualan merdeka independence month sale book room now,NEUTRAL
malaysias rich music culture part haji rock,POSITIVE
malaysiaku sayang form ostomy support group,POSITIVE
nice spacious modern cafe gudang style lim kopi dulu gudang minuman hitam puteh makan kek keju,POSITIVE
review perodua alza av best family car k malaysia among seater mpvs,POSITIVE
merdeka day campaign,NEUTRAL
missing cat location tasek gelugor penang,NEGATIVE
good atmosphere selangor jdt,POSITIVE
malacca banda hilir vacation,NEUTRAL
another good reporting nice video angles tv pertiwiayuh menuju puncak,POSITIVE
alhamdulillah th gewinn unimap open international taekwando championship,POSITIVE
kt nk beli confident mcm adik ni wehh nukmanaman,POSITIVE
new hope stateless merdeka boy meeting pm,POSITIVE
people gather merdeka square aug people attended national day parade years covid syaiful redzuan,NEUTRAL
japan open malaysias duo ongteo lost koreas choikim malaysias duo exit round,NEGATIVE
japan open malaysias mi double kian menglai pei jing stopped round malaysias mi lost chinas wanghuang,NEGATIVE
hari raya asli village,NEUTRAL
rosmah mansor wife malaysias former pms convicted crime,NEGATIVE
a trip memory lane muzium nanas pontian pineapple museum johor place go learn pineapples,NEUTRAL
memandu dikala hujan fujifilm xt fujinon xc mm lightroom mobile,NEUTRAL
pasal handbag kat fb,NEUTRAL
nasi ayam penyet lunch sambal spot on good,POSITIVE
s sultan dipertuan agong queen azizah presided national day grand celebration aug independence square istana,POSITIVE
operator kilang vacancy open malaysia apply now,NEUTRAL
crowd serbu bomba bomba serbu crowd,NEUTRAL
selamat merdeka happy independence day,POSITIVE
malaysia independence united kingdom merdeka years ago,NEUTRAL
stronger together selamat merdeka,POSITIVE
happy merdeka malaysia happy independence day,POSITIVE
merdeka merdeka merdeka happy th independence day,POSITIVE
happy independence day fellow malaysians selamat merdeka,POSITIVE
selamat merdeka happy independence day august,POSITIVE
happy th independence day merdeka merdeka merdeka,POSITIVE
whats brings special episode merdeka wishes us idfr malaysia celebration independence let us stand proud people malaysia tumpahnya darahku,POSITIVE
happy national day malaysia,POSITIVE
these dog shoes help keep paws cool protected selamat kebangsaan all,POSITIVE
hari merdeka happy independence day,POSITIVE
happy th anniversary miku th anniversary malaysia h,POSITIVE
homemade merdeka themed butter cake,NEUTRAL
happy th independence day fellow malaysiansselamat kebangsaan ke,POSITIVE
happy merdeka day youll always home,POSITIVE
selamat kemerdekaan ke happy th celebrating day custom made by,POSITIVE
happy independence dayselamat kemerdekaan ke,POSITIVE
happy th national day malaysia,POSITIVE
one mans experience merdeka,NEUTRAL
augustmalaysias national dayhatsune mikus birthdayselamat kebangsaan happy birthday,POSITIVE
happy joyous th kebangsaan s friend ally,POSITIVE
from us marc happy merdeka day,POSITIVE
happy merdeka malaysian friends family,POSITIVE
happy th independence daymalaysiamerdekamerdekamerdeka,POSITIVE
happy independence merdeka merdeka merdeka,POSITIVE
selamat merdekahappy national day fellow malaysian friends merdeka merdeka merdeka,POSITIVE
happy national day malaysian,POSITIVE
i proud malaysianproud watch supermaneuverable fighter royal malaysian force sukhoi su mkmmerdeka merdeka merdeka,POSITIVE
kita syukur still aman pray palestine stand palestine free palestine,POSITIVE
malaysia national day parade dataran merdeka starts milo truck,NEUTRAL
we easyeat would like wish malaysians selamat merdeka us,POSITIVE
happy national day malaysia happy th feezarunew video uploaded,POSITIVE
if hati malaya made,NEUTRAL
happy independence day dear fellow malaysiansselamat menyambut merdeka,POSITIVE
happy independence day selamat menyambut kemerdekaan ke have nice day everyone,POSITIVE
selamat merdeka happy day malaysian friends supporters siblings,POSITIVE
happy independence day dear malaysia lumpur,POSITIVE
selamat kemerdekaan ke hopefully new year make us better person last year,POSITIVE
dear malaysian friends best enjoy merdeka day proud country lumpur,POSITIVE
happy national day fellow malaysian friends merdeka merdeka merdeka,POSITIVE
joy nation happy merdeka day proud malaysian,POSITIVE
thank everything done me malaysia love,POSITIVE
selamat merdeka malaysian friends happy th independence day malaysia,POSITIVE
happy independence day malaysian friends selamat merdeka,POSITIVE
happy th independence day merdeka,POSITIVE
selamat merdeka happy th independence day malaysian friends,POSITIVE
happy nationals dayselamat kemerdekaan,POSITIVE
best wishes merdeka day,POSITIVE
myeongdong topokki would like wish happy merdeka day fellow malaysians,POSITIVE
happy merdeka malaysiaindependence day,POSITIVE
im patriotic typebut im proud malaysian happy th birthday malaysiahappy merdeka day,POSITIVE
happy independence day malaysiaand yes malaysian uwumerdekaart ezzz,POSITIVE
wishing malaysians friends selamat merdeka happy holiday,POSITIVE
happy th independence day merdeka malaysia,POSITIVE
malaysias rich music culture part origin negaraku,POSITIVE
just want say selamat merdeka malaysians there today august st malaysias th independence day,POSITIVE
merdeka merdeka merdekast august happy th independence day selamat kebangsaan negarakeep follow,POSITIVE
happy independence day merdeka merdeka merdeka,POSITIVE
happy malaysian independence day kita merdeka,POSITIVE
yugi wears songkok,NEUTRAL
happy independence day malaysiaku,POSITIVE
happy independence day malaysiakuu,POSITIVE
happy th independence day malaysiakusayang lah dey,POSITIVE
happy national day malaysiaku,POSITIVE
happy th merdeka day malaysia may continue grow,POSITIVE
happy independence dayselamat kemerdekaan,POSITIVE
love country happy merdeka day,POSITIVE
happy th independence day malaysia merdekaaaa,POSITIVE
malaysia merdeka happy independence day,POSITIVE
merdeka happy independence day islamabad pakistan,POSITIVE
merdeka merdeka merdeka happy independence day malaysia,POSITIVE
selamat menyambut kemerdekaan the diverse team finterra wishes malaysians throughout world happy th independence day,POSITIVE
happy national day malaysiamerdeka merdeka merdeka,POSITIVE
happy malaysialearn,POSITIVE
selamat menyambut kemerdekaan ke buat malaysiahappy independence day malaysiathis lovable dork oyen either years old still old hahahah,POSITIVE
happy independence day malaysia merdeka,POSITIVE
dari team warongku,NEUTRAL
wishing happy joyous th independence day selamat merdeka,POSITIVE
blessed wake every day land free selamat merdeka us,POSITIVE
happy th independent day merdeka merdeka merdeka,POSITIVE
malaysia getting ready count th year independence selamat merdeka miss heaps,POSITIVE
warm wishes malaysian independence day everyone selamat merdeka tigerlab,POSITIVE
rapid kl bus schedule merdeka day,NEUTRAL
merdeka quiz public interview,NEUTRAL
pm i feel rakyats hardship,NEGATIVE
ku sayang relau sports complex open tender,NEUTRAL
sabahan wins miss world via,POSITIVE
independence day rehearsal dataran bandaraya iskandar puteri,NEUTRAL
sunset ptg tadi,NEUTRAL
lorong seni lorong panglima ipoh street photography photo walk ipoh old town,NEUTRAL
no phpn cooperation ge rafizi says,NEGATIVE
congratulations chiasoh winning world championship terimalah video tak seberapa ni hehe,POSITIVE
lastly wishes malaysians selamat merdeka,POSITIVE
a trip memory lane desaru beach penawar kota tinggi johor beach empty,NEGATIVE
thank mr saad alharji trust service offer package tours langkawi safe trip penang hope see againassalamualaikum,POSITIVE
i want sell apple pencil st generation tak pernah guna sebab tersalah beli runding,NEUTRAL
boring day,NEGATIVE
ncaa football top rankings malaysia,POSITIVE
konsert rossa th shining years november via,NEUTRAL
slow enjoy moment gunung sarut setiu,POSITIVE
a trip memory lane great see people beach tanjung balau beach kota tinggi johor,POSITIVE
thank haidilao moon cake happy mid autumn festival,POSITIVE
healy macs pub lumpurs changkat area superb pint ever going way,POSITIVE
ku sayang malaysians ready change,POSITIVE
i know late happy national day malaysia merdeka,POSITIVE
a year old taekwondo player budgam win silver medal malaysia,POSITIVE
salam jumaat may tasks get ease always,POSITIVE
malaysia scam becareful,NEGATIVE
malaysias rich music culture part sudirman arshad,POSITIVE
korean drama top rankings malaysia,POSITIVE
happy nameday alaysia,POSITIVE
this interesting bangga,POSITIVE
lagi stress liao,NEGATIVE
my fave shop genting permai,POSITIVE
let good sleep kwai chai hong,POSITIVE
taman desa series danau permai condo review,NEUTRAL
bola golf gergasi fujifilm xt fujinon xc mm lightroom mobile crop,NEUTRAL
datuk redzuan zainuddin pleaded guilty charge read magistrate nadia othman,NEGATIVE
vendor pichainmall ready untk postage barang pioneer pembelian tahniah pioneer support pichainmall urusan barter,POSITIVE
congrats ayuh malaysiaku,POSITIVE
melaka beautiful place melaka riverside,POSITIVE
i fun visiting klcc park,POSITIVE
walking around bukit bintang,NEUTRAL
good evening sekinchan,POSITIVE
enjoying favorite durian durian hijau beserah kuantan pahang malaysia small delicious,POSITIVE
happy day malaysians,POSITIVE
happy day every rakyat,POSITIVE
selamat happy day,POSITIVE
boring gila lah,NEGATIVE
we would like wish malaysians happy day selamat menyambut malaysia,POSITIVE
wishing malaysians happy day,POSITIVE
happy malaysias dayon th th anniversary since to malaya sarawak,POSITIVE
day bersatu teguh bercerai roboh let us cherish unity diversity happy th day,POSITIVE
to malaysians selamat menyambut safe enjoyable day,POSITIVE
happy malaysia day malaysian bring jalur gemilang national flag wherever arethe sikh bro kuk singh satta simon jim,POSITIVE
one fav spot pulau kapas hidden gems credit sobri yaacob,POSITIVE
a happy day fellow malaysians teguh,POSITIVE
msnt wishes every malaysian happy daynegaraku malaysia,POSITIVE
khazanah berhad ministry finance,NEUTRAL
dirgahayu malaysia celebrate good every day,POSITIVE
steps spectacular batu caves temple gombak selangor,POSITIVE
malam ni dinner pekena nasi kandar hameediyah direct penang courtesy airasia superapp powerrrr kari dia lumpur,POSITIVE
kilang jahit pukal uniform tshirt,NEUTRAL
khidmat runner transporter,NEUTRAL
small temple pulau ketam island get here,NEUTRAL
youtube rusa entertaiment,NEUTRAL
download aplikasi balqis travel group playstore,NEUTRAL
if prime minister ismail sabri yaakob really serious keluarga malaysia drop minister belittles women,NEGATIVE
halaman oku welcome halaman oku,POSITIVE
berita demi berita pi network,NEUTRAL
ikan kembung climate crisis feeding malaysias fish shortageby ashley yeong,NEGATIVE
a trip memory lane restoran todak johor bahru fantastic seafood,POSITIVE
the malayan tiger harimau malaya goes many names know them,NEUTRAL
kuih bakar burnt cheesecake,NEUTRAL
amazing view tanjung aru,POSITIVE
thank much mr almasri,POSITIVE
malaysia labour market remains strong uob,POSITIVE
rt tourismmalaysia beautiful harmonious peaceful,POSITIVE
halaman welcome halaman oku,POSITIVE
best food sungai pinang food court paradise,POSITIVE
when penjimatan bad wordmore foul today,NEGATIVE
perodua alza full video review seater mpv best car rmk full stop,POSITIVE
prime minister ismail sabri yaakob form sabotage toward keluarga coalition government,NEGATIVE
mokhtar dahari clear years,POSITIVE
cover hutang floor pok ame ame cover hutang floor pok amai amai,NEUTRAL
breaking raja permaisuri perak tuanku zara salim attended opening bebelec day care centre dementia patients lang padang tembak,NEUTRAL
a trip memory lane fun sand surf tanjung balau beach kota tinggi johor,POSITIVE
tak main badminton sebab ankle injured ni main sampai keluar peluh jantan ankle injured reall,NEGATIVE
karamjit singh kembali pentas rali sertai aprc danau toba rally,NEUTRAL
the dipertuan agong raja permaisuri agong sitting next emperor empress japan queen elizabeth iis sate funeral front king queen jordan,NEUTRAL
hey sekitar ni jom korang level kasik support jom pun tau geng jom mai thanks,POSITIVE
a trip memory lane great seafood restoran todak johor bahru,POSITIVE
view pangkor top tier giler alun retreat pasir bogak pulau pangkor,POSITIVE
best kolo noodles kluang via,POSITIVE
a trip memory lane visiting kompleks muzium maritim samudera flor de la mar malacca,NEUTRAL
jom tengok kes otosan gaming blessed lovely people around me biar tak padu asalkan,POSITIVE
murtabak penang best selling since,POSITIVE
my boring day,NEGATIVE
jom tengok kes otosan gaming sorry lil one try next month biar tak padu asalkan,NEGATIVE
indoor themepark best korang bawak kalau tak nak berjalan kat kredit zetty hulwany zahid,POSITIVE
murah murah pasar fabulous morning market,POSITIVE
a trip memory lane best crab dishes jb restoran todak johor bahru,POSITIVE
ok comel,POSITIVE
vegetarian nasi lemak lunch today,NEUTRAL
then habis lah date malaysian worse weak sad value,NEGATIVE
come ayuh malaysia lets reject racism a big no umnobnpngtagrsgps,NEGATIVE
one underrated star hotel southeast asia glad stay alila bangsar malaysia,POSITIVE
good morning tioman island malaysia,POSITIVE
sumpah salute dgn team tweeter slck ni hebat top trending hashtags twitter malaysia via,POSITIVE
boring lahk chat tak,NEGATIVE
hi guysada something interesting coming soon october niteruja sangat sebab ogawa x wonderlabcannot wait,POSITIVE
love harihari wordless balai seni maybankmore blog,POSITIVE
bmw e sport ditawarkan pakej edisi terhad performance parts,NEUTRAL
laboratory technician lelaki sahaja seremban vacancy open malaysia apply now,NEUTRAL
tun dr mahathir mohamad dead alive mahathir passed away,NEGATIVE
dah cukup ni duit nak clear shopping cart dekat shopee tu twitter punishedhavoc,POSITIVE
we great stay hard rock hotel penang book stay agoda like here,POSITIVE
how had fun,POSITIVE
idea mula bisnes online,NEUTRAL
a beautiful sunset miri sarawak,POSITIVE
malaysia lost tajikstan penalty kicks,NEGATIVE
its okay dah bagus dah,POSITIVE
fun trip wonderfood museum penang,POSITIVE
thank local pride kacang,POSITIVE
what top five things malacca malaysia,POSITIVE
authentic malay cuisine kampung melayu subang delicious masak lemak smoke duck fried cat fish ulam more,POSITIVE
happy milad un nabi muhammad,POSITIVE
filem ni memang btul sendu guysbyk emosi dlm filem ni honest filem ni mmg best nak based true story rating,POSITIVE
sambal sardin hancur menu simple nice,POSITIVE
happy weekend tak daging tak pe lajanji rasa kuah,POSITIVE
morning korangcuti ni jom enjoy sikit,POSITIVE
i like filipina,POSITIVE
alhamdulillah eating first rambutan year believe it yes bangi expensive pm rabiulawal fri october pasir mas,POSITIVE
dah slow slow dah ni good move kkm,POSITIVE
terima kasih thank yr service,POSITIVE
sounds like dumb one kelakar,NEGATIVE
game buat aku sakit otak grew lungs drowned,NEGATIVE
asias exciting race watch petronas le tour de langkawi october,POSITIVE
omg cute loveee roses,POSITIVE
isu flight cancelled refund kronic siapa pernah kena,NEGATIVE
a casual meeting muariff kopi teh nice food great ambiance please try ever bandaraya kuantan pahang bkp malaysia,POSITIVE
malaysia heading towards economic crisis says tengku zafrul,NEGATIVE
dessert healthy sumber tt bellacikbell,POSITIVE
location persiaran endah taman persiaran desa lumpur ig ckbensonfollow beautiful featured photos kl,POSITIVE
kampung pinang sebatang chalet pengkalan balak unique traditional chalet across pengkalan balak beachbook stay agoda please click,POSITIVE
jom tengok kes otosan gaming hate surprises biar tak padu asalkan,NEGATIVE
hard rock hotel penang rockin good time via,POSITIVE
a beautiful view iron mosque also known masjid tuanku mizan zainal abidin putrajaya,POSITIVE
taman tasik ampang hilir long route view enjoy morning run via,POSITIVE
best roti canai,POSITIVE
kefahaman rasisme haram disisi agama islamracism place islamumno created worlds nd racist nationdo support racism,NEGATIVE
this true teachings islam ajaran sebenar,POSITIVE
love ambiance mythical legends dataran lang eagle square pulau langkawi kedah darul aman,POSITIVE
i feeling dina nadzir next adibah noor best,POSITIVE
get bass guitar ready orchestra konsert diraja kpm,POSITIVE
sekotak tu dia charge twitter,NEUTRAL
missing catlast seen atcasa greencybersouth cyberjaya selangor,NEGATIVE
the mummy superb skills baking thank arshiya aysha mummy walinktm,POSITIVE
korang stress tu lah kredit tarachoi,NEGATIVE
macam ni ka hamster campbell bulu tak sikat,NEUTRAL
the pkr president anwar ibrahim denies pakatan harapan rejected cooperation muda ge,NEGATIVE
selamat welcome teamenjoy beautiful city malaysian food must try roti canai teh tarik nasi lemak,POSITIVE
boring la yg nak service vcssilah pm yee,NEGATIVE
kru restaurant mcdonalds pandu lalu aman puri,NEUTRAL
view clouds sunrise near banjaran titiwangsa,NEUTRAL
a trip memory lane riverwalk tandoor restoran gelang patah johor best mutton curry area,POSITIVE
tak mini cooper clubman features yg macam ini,NEUTRAL
pregnant maiden lake dayang bunting island malaysia,NEUTRAL
memang debu chin peng la maybe ghost come back haunt them,NEGATIVE
masjid khalid bin alwalid calm clean friday prayer via,POSITIVE
i hope people listen sultan selangor speaks truth,POSITIVE
a trip memory lane great curries riverwalk tandoor restoran gelang patah johor,POSITIVE
the beautiful monkey beach penang malaysia,POSITIVE
watch phmaha setting political trap againinfo says stop momentum ph gaining stay away buayacukup kena sekali,NEGATIVE
happy deepavali us,POSITIVE
missing catlocated puteri puchong selangor,NEGATIVE
jom tengok kes otosan gaming cheaters everywhere biar tak padu asalkan,NEGATIVE
malaysia trade surplus climbs record high uob,POSITIVE
musafir bumi hijjaz klia international airport,NEUTRAL
malaysia election set november amid fear floods,NEGATIVE
mossad strikes malaysia targeting palestinian computer programmer,NEGATIVE
better us malaysians,POSITIVE
nice morning aloft langkawi pantai,POSITIVE
bungkus please,NEUTRAL
missing kl lumpur,NEGATIVE
beza ikan sardin ikan mackerel tin cap ayam sumber ig datomichaellim,NEUTRAL
dah macam flight servis dia,NEUTRAL
good job malaysian pm,POSITIVE
pdrm shit lor,NEGATIVE
somi excited performing malaysia,POSITIVE
cheating top rankings malaysia,NEGATIVE
kuala lumpur best city expats live work,POSITIVE
a trip memory lane kompleks muzium maritim samudera flor de la mar malacca sad see falling disrepair,NEGATIVE
missing catlocation pjs sunway city subang jaya selangor,NEGATIVE
audio bad,NEGATIVE
thinaah pearly all best,POSITIVE
best places malaysia travel,POSITIVE
boleh cod direct kilang marble,NEUTRAL
jom support young talent different genre pulak minutes lagu nak keluar kat youtube kat teaser lagu dah kakak layan jaaaaa memana keramaian maya,POSITIVE
account clerk melaka vacancy open malaysia apply now,NEUTRAL
muhammad alif fahmi abdullah found fruit valley waste trap bestari jaya kilometres swept away,NEGATIVE
aku beli berhantu devida hunted house,NEUTRAL
the reason voting pakatan harapan ge bcoz want dsai pm malaysia,NEUTRAL
payung teduh pusakata efek kaca concert announced november,NEUTRAL
istana lama menanti night mode,NEUTRAL
smart logo pakatan harapan macross fans je nampak,POSITIVE
last day mr tiktok aka bodyguard thank everything till meet next time presint putrajaya,POSITIVE
bruh malaysians please get rid bastard jesus,NEGATIVE
ambilah sick leave,NEGATIVE
broken parah member ni weh twitter,NEGATIVE
luggage letak baju luggage refill tiktok,NEUTRAL
ehlah nabawiyyah walk restu foundation selangor islamic arts garden complex impressive,POSITIVE
cerita best skrg,POSITIVE
jawatan kosong team sales vacancy open malaysia apply now,NEUTRAL
gerakan intended contest five parliamentary seats penang using pn logo namely jelutong bayan baru bukit bendera tanjung batu kawan,NEUTRAL
whatsapp down,NEGATIVE
dull winter like azanis shahila amanvia,NEGATIVE
saya punya je ws problem,NEGATIVE
mee tarik goreng beef roti kapit myhub kopi house,NEUTRAL
did know chinas top durian importers areguangxiguangdongchongqinglearn malaysias top durian importers,POSITIVE
cukuplah ini manusia bumi bulan selamat enough today people country moon good night,POSITIVE
malaysia fire deporting myanmar asylum seekers,NEGATIVE
happy deepavali ruly srinishas parent walinktm,POSITIVE
a moment appreciate singing dancing performers pesta penjaja dataran merdeka also linda ex akademi fantasia singer ranau sabah,POSITIVE
hari ni rakaman trek drum today drum session recording,NEUTRAL
happy deepavali,POSITIVE
have happy safe deepavali lumpur,POSITIVE
happy deepavali hindus,POSITIVE
happy deepavali hindus pyongyang airport north korea,POSITIVE
khidmat runner runner transporter,NEUTRAL
wish happy deepavali,POSITIVE
atau perak or silver crescents land moon,NEUTRAL
apakah emas is golden crescents land,NEUTRAL
a trip memory lane riverwalk tandoor restoran gelang patah johor sadly closed,NEGATIVE
program gelombang biru zon papar kimanis beaufort sipitang ahad kimanis commercial centre,NEUTRAL
happy deepavali us idfr,POSITIVE
happy deepavali us favonia hobbies ipoh perak,POSITIVE
i hope video help share good penerangan ringkas adikadik first time voters nak tengok full video check tt account,POSITIVE
open beautiful cafe lumpur,POSITIVE
perikatan launch manifesto tomorrow muhyiddin,NEUTRAL
pekena dulu choc frappe monti keopi bangi,NEUTRAL
pisang berendam banana chocolate chip,NEUTRAL
i presenting paper work kuching sarawak malaysia thanks supporting work,POSITIVE
pork rib claypot bat kut teh penang best food dinner video,POSITIVE
the sungai buloh parliamentary constituency easy seat win barisan nasional says khairy jamaluddin read,POSITIVE
welcome kd jebat kd gagah samudera kd pendekar royal malaysian navy arrived sattahip naval base royal thai navy,POSITIVE
great comeback malaysian gp watch best sepang,POSITIVE
the best healing book srs takrugi beli buku ni buy,POSITIVE
anjing jalananstray dog,NEUTRAL
thanks abang,POSITIVE
not bad kt sini nasik kandaq roti canai nasik lemak noiceeeasi kandar express bangi,POSITIVE
slipper comel buy,NEUTRAL
sebab regardless parties coalitions aku suka certain politicians mostly muda opiniated berani tu ja sekian wabillahitaufiqwalhidayah,POSITIVE
telur supply tergugat ikan bilis too travesty injustice done holy dish nasi lemak,NEGATIVE
segelintir menyalak anjing menyalak bukit puadsounds like deep resentment among leaders,NEGATIVE
list perikatan ge candidates,NEUTRAL
their called sumpah worthless dna makan suap rasuah,NEGATIVE
aircond mampu milik rm rm hsuvth series hp hp k sold shopee,NEUTRAL
rumah subsales undercon,NEUTRAL
ultrasound kehamilan,NEUTRAL
di keadilan anda pun abused tapi tak nak kaji whtger constitution not,NEGATIVE
ge warisan hopes support kadazandusun murut community says shafie,POSITIVE
a malaysian actress syazlin zainal influencer died,NEGATIVE
i nasi ambang lunch good,POSITIVE
batik brings back flights lumpurda nang dec,NEUTRAL
kelana jaya lrt woes could sabotage says first prasarana ceo biar betul friend,NEGATIVE
did kelana jaya lrt fail prasarana used cracked software bittorrent,NEGATIVE
popular nasi lemak wanjo kampung kl since nasi lemak wanjo kampung kl,POSITIVE
masak roti john cheese sarapan perlis breakfast kopitok asmr,NEUTRAL
nasi lemak milo panasmy fav combo yours,POSITIVE
nak sugar mommy area johor bahru money crisis,NEGATIVE
scholar malay mak yong dance expert professor ghulam sarwar yousof died today,NEGATIVE
terbaik congrats,POSITIVE
happy birthday one legend guilherme de paulakorang ucapan sempena lahir lord sila komen bawahsubscribe youtube,POSITIVE
awesome effort support great work shida abidin fairuz nadira zainal wan nasrul s sheikh manzoor ghani k raman vincent quah manish prakash danial azizan,POSITIVE
i love foodwonderfood museum penang malaysia,POSITIVE
field density test universiti utara uum,NEUTRAL
what hell walaoooo,NEGATIVE
a beautiful set wall murals lorong sulaiman ttdi lumpur malaysia,POSITIVE
temuduga customer assistant assistant supervisor icity mall seksyen shah,NEUTRAL
how perlembagaan say losers form govneed justification,NEGATIVE
please stop blame gamebila bersidang parliment sepenggal dok meratib salah previous govmove on rebuild nation,NEGATIVE
down gila sedih sad,NEGATIVE
she home country wow malaysia mesti boleh,POSITIVE
terima kasih malaysia battle far over next years interesting one indeed ready face on kitaboleh,POSITIVE
mahathir mohamad loses parliamentary seat,NEGATIVE
mr khairy lost keadilan rakyats pkr ramanan ramakrishnan malaymajority constituency,NEGATIVE
i happy voted undi utk,POSITIVE
bn king maker lah kan,NEUTRAL
sundays star malaysia no clear winner,NEGATIVE
sounds good boleh,POSITIVE
malaysias veteran politician mahathir loses seat,NEGATIVE
